accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-9.236295223236083984e-01,4.699503898620605469e+00,-1.244267746806144714e-01,-4.923574030399322510e-01,3.591887652873992920e-01,-4.434881508350372314e-01
-7.848458290100097656e-01,4.823930263519287109e+00,2.775674462318420410e-01,-1.156978726387023926e+00,3.665191233158111572e-01,-2.492330223321914673e-01
-9.379864931106567383e-01,5.115855216979980469e+00,3.349951803684234619e-01,-1.820378422737121582e+00,6.243042349815368652e-01,-2.260201424360275269e-01
-6.987042427062988281e-01,4.804787635803222656e+00,5.407779812812805176e-01,-2.875953674316406250e+00,9.138543605804443359e-01,-2.492330223321914673e-01
-9.667003750801086426e-01,4.646861553192138672e+00,9.140582084655761719e-01,-3.828903436660766602e+00,1.047022938728332520e+00,-2.260201424360275269e-01
-1.258624672889709473e+00,5.158926010131835938e+00,1.454836130142211914e+00,-5.095838069915771484e+00,1.054353356361389160e+00,-3.274237811565399170e-01
-7.130611538887023926e-01,4.876572608947753906e+00,1.990828394889831543e+00,-4.353025913238525391e+00,9.920451641082763672e-01,-4.593706727027893066e-01
-1.435693740844726562e+00,4.101297855377197266e+00,1.933400750160217285e+00,-2.001194477081298828e+00,5.155702233314514160e-01,-5.290092825889587402e-01
-1.210768342018127441e+00,3.823730707168579102e+00,1.761117458343505859e+00,-7.195992469787597656e-01,3.054326213896274567e-02,-4.899139106273651123e-01
-1.497906923294067383e+00,3.517449140548706055e+00,1.928615093231201172e+00,-2.376265764236450195e+00,-1.099557429552078247e-01,-4.129448831081390381e-01
-1.622333884239196777e+00,3.259024381637573242e+00,2.569891691207885742e+00,-5.321857929229736328e+00,-8.552113547921180725e-03,-1.795943826436996460e-01
-1.536192178726196289e+00,2.813959360122680664e+00,3.866801500320434570e+00,-4.603480339050292969e+00,-1.588249579071998596e-02,-1.404990106821060181e-01
-1.306481242179870605e+00,2.732603549957275391e+00,3.627519130706787109e+00,-3.290120124816894531e+00,3.909537568688392639e-02,-2.333505302667617798e-01
-1.540977835655212402e+00,2.498106956481933594e+00,3.780659914016723633e+00,-4.712214469909667969e+00,-7.086036354303359985e-02,-3.897320330142974854e-01
-1.674975872039794922e+00,1.593619823455810547e+00,4.804787635803222656e+00,-4.438546657562255859e+00,-1.563815027475357056e-01,-4.667010605335235596e-01
-1.550549030303955078e+00,1.129412174224853516e+00,4.895715236663818359e+00,-2.328618049621582031e+00,-1.404990106821060181e-01,-3.506366610527038574e-01
-1.540977835655212402e+00,1.038485050201416016e+00,4.240082263946533203e+00,-1.094670534133911133e+00,-1.881464868783950806e-01,-3.433062732219696045e-01
-1.607976794242858887e+00,8.183453083038330078e-01,3.986442327499389648e+00,-1.750739693641662598e+00,-3.909537494182586670e-01,-3.433062732219696045e-01
-1.569691658020019531e+00,5.072783827781677246e-01,4.383650779724121094e+00,-2.164906501770019531e+00,-5.155702233314514160e-01,-3.506366610527038574e-01
-1.402194261550903320e+00,1.100698411464691162e-01,5.000998973846435547e+00,-1.547932505607604980e+00,-6.487389206886291504e-01,-4.129448831081390381e-01
-1.105484127998352051e+00,-9.571290574967861176e-03,5.288137912750244141e+00,-3.909537494182586670e-01,-6.963863372802734375e-01,-3.738495111465454102e-01
-1.124626636505126953e+00,5.742774158716201782e-02,5.441278934478759766e+00,-1.099557429552078247e-01,-4.532620012760162354e-01,-3.115412592887878418e-01
-1.215553998947143555e+00,-2.249253392219543457e-01,5.297709465026855469e+00,-2.577851116657257080e-01,-9.407324343919754028e-02,-2.809980213642120361e-01
-1.272981643676757812e+00,-4.259224236011505127e-01,5.106283187866210938e+00,1.637118905782699585e-01,-8.552113547921180725e-03,-2.443460933864116669e-02
-1.210768342018127441e+00,-2.632104754447937012e-01,5.000998973846435547e+00,4.300491213798522949e-01,1.172861233353614807e-01,3.029891550540924072e-01
-1.296909928321838379e+00,1.004985496401786804e-01,4.627718925476074219e+00,4.532620012760162354e-01,1.710422635078430176e-01,3.029891550540924072e-01
-1.325623631477355957e+00,2.249253392219543457e-01,4.603790760040283203e+00,-3.445279896259307861e-01,8.552113175392150879e-02,2.553416788578033447e-01
-1.143769264221191406e+00,2.775674462318420410e-01,4.996213912963867188e+00,-6.951646208763122559e-01,8.552113175392150879e-02,3.103195428848266602e-01
-1.182054400444030762e+00,3.828516304492950439e-01,5.168496608734130859e+00,-4.605923891067504883e-01,1.954768747091293335e-01,2.247983962297439575e-01
-1.229910850524902344e+00,2.679961621761322021e-01,4.785645484924316406e+00,-1.477072119712829590e+00,3.433062732219696045e-01,6.963863223791122437e-02
-1.253839135169982910e+00,1.004985496401786804e-01,4.718646049499511719e+00,-3.907094001770019531e+00,5.778785347938537598e-01,2.553416788578033447e-01
-1.339980721473693848e+00,-3.732803463935852051e-01,5.359922885894775391e+00,-2.977357149124145508e+00,4.214970171451568604e-01,2.174680233001708984e-01
-1.373480200767517090e+00,-4.115655124187469482e-01,4.914857387542724609e+00,-1.665218591690063477e+00,5.070181488990783691e-01,-8.674286305904388428e-02
-1.593619823455810547e+00,-1.162911772727966309e+00,4.589434146881103516e+00,-4.868595600128173828e+00,9.456194043159484863e-01,5.375614017248153687e-02
-1.703689694404602051e+00,-2.072184324264526367e+00,5.058426856994628906e+00,-5.142263889312744141e+00,1.007927656173706055e+00,1.698205471038818359e-01
-1.713261008262634277e+00,-1.952543377876281738e+00,4.503292560577392578e+00,-1.976759910583496094e+00,8.979718685150146484e-01,3.054326213896274567e-02
-1.799402713775634766e+00,-1.579263091087341309e+00,2.971885681152343750e+00,-1.532050013542175293e+00,8.442157506942749023e-01,-1.331686228513717651e-01
-1.904686808586120605e+00,-2.292324066162109375e+00,2.861815929412841797e+00,-3.547905206680297852e+00,6.401867866516113281e-01,-3.433062732219696045e-01
-1.852044820785522461e+00,-3.249453067779541016e+00,3.364308595657348633e+00,-3.000570058822631836e+00,3.750712573528289795e-01,-5.998696088790893555e-01
-2.249253273010253906e+00,-3.943371772766113281e+00,3.340380430221557617e+00,-1.805717706680297852e+00,5.387831330299377441e-01,-3.897320330142974854e-01
-2.009971141815185547e+00,-3.919443368911743164e+00,2.507678270339965820e+00,-1.274264931678771973e+00,4.141666293144226074e-01,-5.497787147760391235e-02
-2.110469818115234375e+00,-3.890729665756225586e+00,2.335394859313964844e+00,-1.500285029411315918e+00,1.795943826436996460e-01,8.429940044879913330e-02
-2.172682762145996094e+00,-3.723232030868530273e+00,2.378465652465820312e+00,-1.328021049499511719e+00,1.087340116500854492e-01,1.930334120988845825e-01
-2.167897224426269531e+00,-3.302095174789428711e+00,2.249253273010253906e+00,-1.251052021980285645e+00,1.404990106821060181e-01,6.963863223791122437e-02
-2.249253273010253906e+00,-3.775874376296997070e+00,2.340180635452270508e+00,-5.705481767654418945e-01,3.909537568688392639e-02,-1.099557429552078247e-01
-2.057827472686767578e+00,-4.412365436553955078e+00,2.220539569854736328e+00,1.795943826436996460e-01,-2.431243658065795898e-01,8.429940044879913330e-02
-2.076970100402832031e+00,-4.024727344512939453e+00,2.321038007736206055e+00,4.642575979232788086e-02,-3.909537494182586670e-01,2.321287840604782104e-01
-2.057827472686767578e+00,-3.780659914016723633e+00,2.651247262954711914e+00,1.172861233353614807e-01,-4.386012256145477295e-01,2.785545289516448975e-01
-2.191825389862060547e+00,-3.622733592987060547e+00,2.943171977996826172e+00,1.242499828338623047e+00,-2.736676335334777832e-01,2.406809031963348389e-01
-2.196611404418945312e+00,-3.187239646911621094e+00,2.766103029251098633e+00,4.056145191192626953e+00,-3.445279896259307861e-01,2.406809031963348389e-01
-1.703689694404602051e+00,-2.388037204742431641e+00,1.799402713775634766e+00,5.657834053039550781e+00,-7.586946487426757812e-01,-1.563815027475357056e-01
-1.938186287879943848e+00,-2.813959360122680664e+00,2.799602508544921875e+00,3.867998838424682617e+00,-1.485624313354492188e+00,-2.809980213642120361e-01
-1.722832441329956055e+00,-3.196810960769653320e+00,5.211567878723144531e+00,4.431216239929199219e+00,-1.743409395217895508e+00,4.642575979232788086e-02
-1.469192981719970703e+00,-1.947757601737976074e+00,5.647061347961425781e+00,7.541742324829101562e+00,-1.274264931678771973e+00,2.406809031963348389e-01
-1.464407444000244141e+00,-3.254238963127136230e-01,4.656433105468750000e+00,7.877718448638916016e+00,-8.918632268905639648e-01,3.054326213896274567e-02
-1.497906923294067383e+00,4.785645287483930588e-03,4.441079139709472656e+00,5.158145904541015625e+00,-7.892378568649291992e-01,7.330382708460092545e-03
-1.359123110771179199e+00,4.211367666721343994e-01,5.302494525909423828e+00,4.774522304534912109e+00,-9.224064946174621582e-01,5.045746564865112305e-01
-1.115055441856384277e+00,1.459621787071228027e+00,5.163711547851562500e+00,5.728694438934326172e+00,-6.255260109901428223e-01,5.742133259773254395e-01
-8.949156999588012695e-01,2.622533798217773438e+00,4.173082828521728516e+00,5.001764774322509766e+00,-2.968804836273193359e-01,3.262020349502563477e-01
-6.795615553855895996e-01,2.861815929412841797e+00,4.173082828521728516e+00,2.758667469024658203e+00,-1.649336069822311401e-01,1.392772644758224487e-01
-8.518448472023010254e-01,2.636890649795532227e+00,4.374080181121826172e+00,1.288925647735595703e+00,3.433062732219696045e-01,2.406809031963348389e-01
-8.518448472023010254e-01,2.809173822402954102e+00,3.670589923858642578e+00,1.507615327835083008e+00,4.605923891067504883e-01,3.799581527709960938e-01
-9.523434042930603027e-01,3.010170936584472656e+00,3.091526985168457031e+00,1.820378422737121582e+00,1.172861233353614807e-01,4.190535545349121094e-01
-7.848458290100097656e-01,3.613162040710449219e+00,3.148954629898071289e+00,1.516167521476745605e+00,2.321287989616394043e-02,3.335324227809906006e-01
-7.465606927871704102e-01,3.665804386138916016e+00,3.689732551574707031e+00,1.601688623428344727e+00,0.000000000000000000e+00,1.551597714424133301e-01
-9.619146585464477539e-01,3.345165967941284180e+00,3.402594089508056641e+00,2.789210796356201172e+00,-9.407324343919754028e-02,1.319468915462493896e-01
-8.614162206649780273e-01,3.627519130706787109e+00,2.943171977996826172e+00,3.563787937164306641e+00,-1.563815027475357056e-01,2.015855312347412109e-01
-8.662018179893493652e-01,4.201797008514404297e+00,2.675175428390502930e+00,3.594331026077270508e+00,-1.722639948129653931e-01,9.285151958465576172e-02
-7.226324677467346191e-01,4.321437358856201172e+00,1.976471543312072754e+00,3.180164337158203125e+00,-7.086036354303359985e-02,5.375614017248153687e-02
-1.167697429656982422e+00,4.177868843078613281e+00,1.349552035331726074e+00,3.290120124816894531e+00,-1.881464868783950806e-01,1.075122803449630737e-01
-8.566305041313171387e-01,4.120440483093261719e+00,1.268195986747741699e+00,2.899166584014892578e+00,-4.141666293144226074e-01,2.944370508193969727e-01
-6.987042427062988281e-01,4.737788677215576172e+00,1.249053478240966797e+00,2.438574075698852539e+00,-3.127630054950714111e-01,4.190535545349121094e-01
-3.349951803684234619e-01,5.082355022430419922e+00,9.284152388572692871e-01,1.930334091186523438e+00,-3.909537568688392639e-02,2.638937830924987793e-01
-5.551348924636840820e-01,4.790431022644042969e+00,6.508477926254272461e-01,2.508212566375732422e+00,4.642575979232788086e-02,8.429940044879913330e-02
-7.657032608985900879e-01,5.020142078399658203e+00,-9.571290574967861176e-03,2.031737804412841797e+00,-5.497787147760391235e-02,1.857030391693115234e-01
-5.551348924636840820e-01,5.321637630462646484e+00,4.307080805301666260e-02,1.331686228513717651e-01,6.963863223791122437e-02,2.406809031963348389e-01
-1.627119481563568115e-01,5.905486106872558594e+00,4.019941985607147217e-01,-2.875953674316406250e+00,7.110471129417419434e-01,1.392772644758224487e-01
-2.105683833360671997e-01,5.527420520782470703e+00,7.848458290100097656e-01,-4.946786403656005859e+00,1.226617455482482910e+00,-2.101376354694366455e-01
-5.838487148284912109e-01,5.240281105041503906e+00,1.014556765556335449e+00,-4.845382690429687500e+00,1.242499828338623047e+00,-3.970624208450317383e-01
-8.327023386955261230e-01,4.871786594390869141e+00,9.810572862625122070e-01,-4.500854969024658203e+00,9.920451641082763672e-01,-4.202752709388732910e-01
-7.657032608985900879e-01,4.345365524291992188e+00,1.464407444000244141e+00,-5.110498428344726562e+00,7.342600226402282715e-01,-4.667010605335235596e-01
-7.369893789291381836e-01,3.952943086624145508e+00,2.646461963653564453e+00,-5.845980644226074219e+00,6.633996367454528809e-01,-6.230825185775756836e-01
-7.896315455436706543e-01,3.120240688323974609e+00,3.689732551574707031e+00,-5.252219200134277344e+00,9.370672702789306641e-01,-6.695082783699035645e-01
-9.379864931106567383e-01,3.058027267456054688e+00,3.914657831192016602e+00,-3.821573019027709961e+00,9.297368526458740234e-01,-1.034805655479431152e+00
-1.306481242179870605e+00,2.919243574142456055e+00,3.723232030868530273e+00,-4.626693248748779297e+00,1.031140446662902832e+00,-1.065348982810974121e+00
-1.679761528968811035e+00,1.909472584724426270e+00,3.503092288970947266e+00,-5.767789363861083984e+00,1.265712738037109375e+00,-1.136209368705749512e+00
-1.674975872039794922e+00,7.465606927871704102e-01,3.330809354782104492e+00,-4.532619953155517578e+00,8.197811245918273926e-01,-1.120326757431030273e+00
-1.976471543312072754e+00,1.100698411464691162e-01,3.665804386138916016e+00,-2.751336812973022461e+00,-4.764748737215995789e-02,-9.028588533401489258e-01
-1.823330879211425781e+00,2.584248781204223633e-01,3.972085714340209961e+00,-3.899763584136962891e+00,-1.331686228513717651e-01,-6.609562039375305176e-01
-1.775474429130554199e+00,-7.178468257188796997e-02,3.991228342056274414e+00,-5.470909118652343750e+00,1.087340116500854492e-01,-8.710938096046447754e-01
-1.679761528968811035e+00,-1.722832441329956055e+00,5.087141036987304688e+00,-3.727499723434448242e+00,-1.954768747091293335e-01,-1.127657175064086914e+00
-1.818545341491699219e+00,-2.794816970825195312e+00,5.589633941650390625e+00,-1.398881316184997559e+00,-2.272418737411499023e-01,-8.869763016700744629e-01
